male.out.p	female.exit.p	together.p	incubating.p	nest.pick.p	male.food.call.p	female.begging.p	unknown.call.p	food.share.p	intruder.p	vigilance.p	cl.size	n.hatch	egg.loss	n.fledge	max.chick	min.chick	total.chick	mean.chick
0	2.662359465	4.4993042	81.03037637	0	0	0	0	2.266550493	0	0.453310099	4	4	0	0	133.3	124.6	257.9	128.95
87.0787258	0.829302205	9.773253405	87.79163751	12.46960678	0	0.247649321	0	2.022391431	0	0.674130477	5	4	0	0	133.7	133.7	133.7	133.7
33.36545085	11.77261951	3.996393214	46.04525978	13.46233311	0	0	0	2.350062514	0	2.685785731	4	4	0	2	233.7	190	423.7	211.85
82.6321417	0.379378601	8.498289098	89.09363669	0	0	0	0	3.294302626	0.183016813	3.111285813	4	4	0	2	228.6	182.5	411.1	205.55
79.72756796	4.660392767	17.51816896	80.87755798	4.921459239	0.057054325	0	0.050684548	5.605403382	0	4.076657005	3	3	0	2	265.1	252.1	517.2	258.6
92.41221898	1.263469531	4.415412788	82.786128	13.37120051	0	0	0	4.506010916	0	4.915648272	5	4	0	1	245.5	97.1	342.6	171.3
88.92399981	0.786339729	7.94902461	90.91376815	0	0	0	0	3.191961553	0	3.191961553	4	3	0	2	252.9	219.1	472	236
78.80153327	1.48565062	11.5845231	91.43380912	5.983031934	0	0	0.636368404	5.273407116	0.175780237	0.878901186	3	3	0	1	258.8	258.8	258.8	258.8
73.16837617	0.456767809	3.325797839	77.37450766	0	0	0	0	0.456210219	0	0	6	6	0	0	NA	NA	NA	NA
93.65607111	5.177662078	4.707987305	78.93753723	7.86871702	0.05098092	0	0.100006076	6.114798647	0	7.687175443	3	3	0	2	255.9	222.5	478.4	239.2
80.42916803	0	7.013763109	87.94025028	0	0	0	0	2.343432442	0	1.673880316	5	5	0	2	256.2	228.1	484.3	242.15
95.09932606	2.479290193	4.064751251	86.94544806	0	0	0	0	2.697461436	0	1.517322058	4	3	0	2	236	103.7	556.4	185.46
80.66328715	1.659706868	16.42202846	86.13072766	5.558545041	0.051128586	0	1.327607721	4.969876043	0	0	4	4	0	2	204.1	131.8	335.9	167.95
20.53455362	7.943862976	4.960312886	38.00765154	13.84196234	0	0.385598171	0.04987368	4.49783133	0	2.453362543	4	4	0	2	212.2	152.5	364.7	182.35
89.0061651	5.179200672	2.610518008	86.33697249	7.793848712	0.167425857	0.510800456	0	3.041205233	0	0.675823385	4	1	0	0	NA	NA	NA	NA
86.26735578	1.383429363	8.543704557	77.12349623	0	0	0	0	4.346055606	0	2.005871818	5	4	0	3	198.5	167.6	561	187
86.79945267	2.014175439	9.928914432	89.39785146	5.705668637	0.082620601	0	1.41633827	6.251243427	0	1.42885564	5	4	1	3	209.8	175.3	583.3	194.43
93.39893178	4.484232865	3.248804271	86.52610748	7.929841846	0.033209741	0.453042306	0	3.371547325	0	2.022928395	4	1	0	0	NA	NA	NA	NA
