box	total.time	male.out.t	female.exit.t	together.t	incubating.t	nest.pick.t	male.food.call.t	female.begging.t	unknown.call.t	food.share.t	intruder.t	vigilance.t	male.out.p	female.exit.p	together.p	incubating.p	nest.pick.p	male.food.call.p	female.begging.p	unknown.call.p	food.share.p	intruder.p	vigilance.p	site	lay.date	lay.numeric	lay.plusmin	cl.size	hatch.date	hatch.numeric	n.hatch	egg.loss	fledge.date	fledge.numeric	n.ring	mass.ring	n.fledge	experiment.impact	fem.ID	frings	fem.age	f.age.exact	col.year.fem	male.ID	mrings	male.age	m.age.exact	col.yr.male	age.discrep	prev.box	max.chick	min.chick	total.chick	mean.chick
X18	15883.167	0	422.867	714.632	12870.19	0	0	0	0	10	0	2	0	2.662359465	4.4993042	81.03037637	0	0	0	0	2.266550493	0	0.453310099	Campus	12/04/2023	12	TRUE	4	02/05/2023	32	4	0	NA	NA	2	257.9	0	TRUE	J4508	RRMW	4	FALSE	3	J4536	BZYYM	4	FALSE	3	FALSE	X20	133.3	124.6	257.9	128.95
X21	10680.425	9300.378	88.573	1043.825	9376.52	1331.807	0	26.45	0	6	0	2	87.0787258	0.829302205	9.773253405	87.79163751	12.46960678	0	0.247649321	0	2.022391431	0	0.674130477	Campus	17/04/2023	17	TRUE	5	07/05/2023	37	4	0	NA	NA	1	133.7	0	FALSE	J4525	YZYMW	5	FALSE	4	J3874	OZGOM	5	FALSE	4	FALSE	NA	133.7	133.7	133.7	133.7
X22	10723.119	3577.817	1262.392	428.538	4937.488	1443.582	0	0	0	7	0	8	33.36545085	11.77261951	3.996393214	46.04525978	13.46233311	0	0	0	2.350062514	0	2.685785731	Campus	20/04/2023	20	TRUE	4	08/05/2023	38	4	0	09/06/2023	70	2	423.7	2	FALSE	J4509	GZVMGZ	4	FALSE	3	J4964	YPYZM	4	FALSE	3	FALSE	NA	233.7	190	423.7	211.85
X23	19670.324	16254.01	74.625	1671.641	17525.007	0	0	0	0	18	1	17	82.6321417	0.379378601	8.498289098	89.09363669	0	0	0	0	3.294302626	0.183016813	3.111285813	Campus	17/04/2023	17	TRUE	4	07/05/2023	37	4	0	10/06/2023	71	2	411.1	2	FALSE	J3326	BZGMB	4	TRUE	1	UNM6.X23.23	unmarked	2	FALSE	1	FALSE	NA	228.6	182.5	411.1	205.55
X25	21193.836	16897.33	987.716	3712.772	17141.057	1043.046	12.092	0	10.742	33	0	24	79.72756796	4.660392767	17.51816896	80.87755798	4.921459239	0.057054325	0	0.050684548	5.605403382	0	4.076657005	Campus	18/04/2023	18	TRUE	3	08/05/2023	38	3	0	10/06/2023	71	2	517.2	2	FALSE	J4949	MGYZP	3	FALSE	2	J3461	OZRRM	6	FALSE	6	TRUE 	SAME	265.1	252.1	517.2	258.6
X31	8788.261	8121.427	111.037	388.038	7275.461	1175.096	0	0	0	11	0	12	92.41221898	1.263469531	4.415412788	82.786128	13.37120051	0	0	0	4.506010916	0	4.915648272	Campus	15/04/2023	15	TRUE	5	05/05/2023	35	4	0	08/06/2023	69	2	342.6	1	FALSE	J4950	GZGZMW	3	FALSE	2	J2576	OZMYP	5	TRUE	2	FALSE	SAME	245.5	97.1	342.6	171.3
X32	16917.497	15043.715	133.029	1344.776	15380.334	0	0	0	0	15	0	15	88.92399981	0.786339729	7.94902461	90.91376815	0	0	0	0	3.191961553	0	3.191961553	Campus	22/04/2023	22	TRUE	4	11/05/2023	41	3	0	15/06/2023	76	2	472	2	FALSE	J5123	RZMYZY	2	FALSE	1	J5124	BZOOZM	2	FALSE	1	FALSE	NEW	252.9	219.1	472	236
X33	20480.118	16138.647	304.263	2372.524	18725.752	1225.332	0	0	130.329	30	1	5	78.80153327	1.48565062	11.5845231	91.43380912	5.983031934	0	0	0.636368404	5.273407116	0.175780237	0.878901186	Campus	15/04/2023	15	TRUE	3	04/05/2023	34	3	0	08/06/2023	69	1	258.8	1	FALSE	J4941	GZOMG	3	FALSE	2	J4963	GZYRM	3	FALSE	2	FALSE	X39	258.8	258.8	258.8	258.8
X39	7891.099	5773.789	36.044	262.442	6105.699	0	0	0	0	1	0	0	73.16837617	0.456767809	3.325797839	77.37450766	0	0	0	0	0.456210219	0	0	Campus	17/04/2023	17	TRUE	6	05/05/2023	35	6	0	NA	NA	0	NA	0	FALSE	J2410	BZWGM	8	FALSE	7	J1347	OMBB	11	FALSE	10	TRUE 	X38	NA	NA	NA	NA
Y01	20605.748	19298.534	1066.896	970.116	16265.67	1621.408	10.505	0	20.607	35	0	44	93.65607111	5.177662078	4.707987305	78.93753723	7.86871702	0.05098092	0	0.100006076	6.114798647	0	7.687175443	Stithians	16/04/2023	16	TRUE	3	05/05/2023	35	3	0	07/06/2023	68	2	478.4	2	FALSE	J1031	RZBYM	8	TRUE	5	J1171	BOYZM	8	TRUE	5	FALSE	SAME	255.9	222.5	478.4	239.2
Y02	10753.457	8648.916	0	754.222	9456.617	0	0	0	0	7	0	5	80.42916803	0	7.013763109	87.94025028	0	0	0	0	2.343432442	0	1.673880316	Stithians	14/04/2023	14	TRUE	5	03/05/2023	33	5	0	06/06/2023	67	2	484.3	2	FALSE	J3899	BBMW	4	FALSE	2	J2488	MGZYZB	5	TRUE	2	FALSE	Y03.21	256.2	228.1	484.3	242.15
Y03	21353.41	20306.949	529.413	867.963	18565.818	0	0	0	0	16	0	9	95.09932606	2.479290193	4.064751251	86.94544806	0	0	0	0	2.697461436	0	1.517322058	Stithians	17/04/2023	17	TRUE	4	06/05/2023	36	3	0	11/06/2023	72	3	556.4	2	FALSE	J3283	BZVMR	4	TRUE	2	J4666	YZBWM	3	FALSE	2	FALSE	SAME	236	103.7	556.4	185.46
Y04	20282.196	16360.286	336.625	3330.748	17469.203	1127.395	10.37	0	269.268	28	0	0	80.66328715	1.659706868	16.42202846	86.13072766	5.558545041	0.051128586	0	1.327607721	4.969876043	0	0	Stithians	19/04/2023	19	TRUE	4	08/05/2023	38	4	0	13/06/2023	74	2	335.9	2	FALSE	J2994	MRZRZG	7	FALSE	5	J3749	YZWRM	5	FALSE	4	TRUE 	SAME	204.1	131.8	335.9	167.95
Y05	8804.243	1807.912	699.397	436.718	3346.286	1218.68	0	33.949	4.391	11	0	6	20.53455362	7.943862976	4.960312886	38.00765154	13.84196234	0	0.385598171	0.04987368	4.49783133	0	2.453362543	Stithians	16/04/2023	16	TRUE	4	04/05/2023	34	4	0	10/06/2023	71	2	364.7	2	FALSE	J4109	RRMYZ	2	TRUE	1	J4111	GRMYZ	2	TRUE	1	FALSE	NEW	212.2	152.5	364.7	182.35
Y06	10653.671	9482.424	551.775	278.116	9198.057	830.331	17.837	54.419	0	9	0	2	89.0061651	5.179200672	2.610518008	86.33697249	7.793848712	0.167425857	0.510800456	0	3.041205233	0	0.675823385	Stithians	18/04/2023	18	TRUE	4	08/05/2023	38	1	0	NA	NA	0	NA	0	TRUE	J4954	YZYGM	3	FALSE	2	J516	BZMRZG	10	TRUE	8	TRUE 	Y05	NA	NA	NA	NA
Y07	10768.385	9289.601	148.973	920.019	8304.955	0	0	0	0	13	0	6	86.26735578	1.383429363	8.543704557	77.12349623	0	0	0	0	4.346055606	0	2.005871818	Stithians	18/04/2023	18	TRUE	5	07/05/2023	37	4	0	11/06/2023	72	3	561	3	FALSE	J3492	MOGZY	5	TRUE	2	J2391	YMOZV	8	FALSE	7	TRUE 	SAME	198.5	167.6	561	187
Y08	20155.99	17495.289	405.977	2001.271	18019.022	1150.034	16.653	0	285.477	35	0	8	86.79945267	2.014175439	9.928914432	89.39785146	5.705668637	0.082620601	0	1.41633827	6.251243427	0	1.42885564	Stithians	21/04/2023	21	TRUE	5	10/05/2023	40	4	1	11/06/2023	72	3	583.3	3	FALSE	J1182	WOYZM	8	TRUE	4	J3692	WWMG	5	FALSE	4	FALSE	SAME	209.8	175.3	583.3	194.43
Y09	10677.59	9972.755	478.808	346.894	9238.903	846.716	3.546	48.374	0	10	0	6	93.39893178	4.484232865	3.248804271	86.52610748	7.929841846	0.033209741	0.453042306	0	3.371547325	0	2.022928395	Stithians	19/04/2023	19	TRUE	4	09/05/2023	39	1	0	NA	NA	0	NA	0	FALSE	J2403	BMYZB	8	FALSE	7	J3467	MOWV	5	TRUE	4	TRUE 	SAME	NA	NA	NA	NA
Y10	19487.082	17299.589	381.583	1431.275	15896.828	0	0	0	0	8	0	9	88.77465082	1.958133085	7.344737401	81.57623599	0	0	0	0	1.47790213	0	1.662639897	Stithians	16/04/2023	16	TRUE	3	06/05/2023	36	1	2	11/06/2023	72	1	260.4	1	FALSE	J4943	WBMRZ	3	FALSE	2	J104	BMOV	10	TRUE	2	FALSE	SAME	260.4	260.4	260.4	260.4
Y11	20994.429	9237.042	991.06	1114.935	18104.02	1324.984	4.56	0	242.882	13	0	8	43.99758622	4.720585637	5.310623118	86.2324953	6.31112187	0.021720048	0	1.156887858	2.229162794	0	1.371792488	Stithians	13/04/2023	13	TRUE	5	04/05/2023	34	4	1	07/06/2023	68	3	543.4	3	FALSE	J1366	ORGM	10	FALSE	9	J2463	MWRZB	8	FALSE	3	TRUE 	SAME	205.3	139.6	543.4	181.13
Y12	10599.172	8494.226	564.375	280.346	9333.206	776.887	4.189	31.687	0	2	0	8	80.14046758	5.324708383	2.644980193	88.05599154	7.329695188	0.039521955	0.298957315	0	0.679298345	0	2.717193381	Stithians	22/04/2023	22	TRUE	4	11/05/2023	41	1	0	16/06/2023	77	1	222.9	1	FALSE	J1903	RZMRZV	10	FALSE	9	J971	RZRRM	9	TRUE	3	TRUE 	SAME	222.9	222.9	222.9	222.9
Y14	9462.541	0	407.362	0	8092.192	0	0	0	0	0	0	2	0	4.304995878	0	85.51817107	0	0	0	0	0	0	0.760894986	Stithians	28/04/2023	28	FALSE	3	14/05/2023	14	1	0	NA	NA	0	NA	0	FALSE	J2980	BMOG	7	FALSE	6	J2943	MWGZV	7	FALSE	6	FALSE	Y17	NA	NA	NA	NA
Y17	19927.022	11639.223	398.107	3209.237	17966.288	1065.41	7.768	0	144.986	9	0	6	58.40924449	1.997824863	16.10495035	90.16042638	5.346559059	0.038982242	0	0.727584884	1.625932866	0	1.083955244	Stithians	19/04/2023	19	TRUE	6	09/05/2023	39	6	0	13/06/2023	74	3	491.8	2	FALSE	J5090	GRMB	2	FALSE	1	J3693	YVMG	4	FALSE	4	TRUE 	NEW.Y14	193.6	112.5	491.8	163.93
Y18	10084.212	9341.78	276.631	635.957	8474.455	1533.614	16.72	89.757	0	11	0	3	92.63767957	2.743208889	6.306462022	84.0368588	15.2080698	0.165803734	0.890074505	0	3.926930533	0	1.070981054	Stithians	17/04/2023	17	TRUE	5	06/05/2023	36	5	0	13/06/2023	74	2	388.1	2	FALSE	J3698	RMRZW	5	FALSE	4	J1521	GZOBM	8	TRUE	7	TRUE 	SAME	224	164.1	388.1	194.05
Y19	21086.957	19553.514	1942.086	614.339	16591.345	0	0	0	0	17	0	4	92.72800243	9.209892162	2.91336014	78.68060337	0	0	0	0	2.902267975	0	0.682886582	Stithians	18/04/2023	18	TRUE	5	07/05/2023	37	4	0	09/06/2023	70	3	702.8	3	FALSE	J3987	ORZMW	5	FALSE	3	J4574	YMYZB	4	FALSE	3	FALSE	SAME	244.5	228.1	702.8	234.27
Y20	10464.442	8672.608	240.992	783.882	8489.654	0	0	0	0	13	0	7	82.87692741	2.302960827	7.490910648	81.12858765	0	0	0	0	4.472288154	0	2.40815516	Stithians	15/04/2023	15	TRUE	5	04/05/2023	34	1	1	09/06/2023	70	1	269.9	1	FALSE	J792	YMOY	11	FALSE	8	J5503	GVMW	2	FALSE	1	TRUE	Y17.2021	269.9	269.9	269.9	269.9
Y22	21083.745	14644.322	563.191	4870.707	18315.281	475.398	13.849	0	269.605	42	1	12	69.45787857	2.671209503	23.10171651	86.86920184	2.254808147	0.065685674	0	1.278733925	7.171401475	0.170747654	2.04897185	Stithians	14/04/2023	14	TRUE	4	03/05/2023	33	4	0	09/06/2023	70	3	637	3	FALSE	J4645	YZYMG	3	FALSE	2	J4646	GGZMG	3	FALSE	2	FALSE	SAME	220.5	199.7	637	212.33
Y23	6411.572	5897.641	364.317	413.444	5373.774	0	0	0	0	18	0	0	91.98432147	5.682179035	6.448402981	83.81367315	0	0	0	0	10.10672578	0	0	Stithians	11/04/2023	11	TRUE	4	29/04/2023	29	4	0	03/06/2023	64	3	649.3	3	FALSE	J505	BZMWO	10	TRUE	9	J1480	YMOV	9	FALSE	9	FALSE	SAME	229.8	195.3	649.3	216.43
Y24	10534.806	7615.542	643.828	1462.401	8030.401	1446.188	0	33.106	51.516	5	0	24	72.28934258	6.111436699	13.88161301	76.22732683	13.72771364	0	0.314253533	0.489007581	1.708621877	0	8.201385009	Stithians	15/04/2023	15	TRUE	3	05/05/2023	35	1	1	07/06/2023	68	1	205.1	1	FALSE	J1318	OMRW	10	FALSE	9	J494	BZMBB	10	TRUE	9	FALSE	SAME	205.1	205.1	205.1	205.1
Y25	20222.164	18638.183	341.152	806.446	17195.645	0	0	0	0	64	0	12	92.16710437	1.687020242	3.987931262	85.03365416	0	0	0	0	11.3934394	0	2.136269887	Stithians	21/04/2023	21	TRUE	4	09/05/2023	39	4	0	14/06/2023	75	2	430	2	FALSE	J1893	RZGGM	9	FALSE	8	J972	RZGRM	9	TRUE	7	FALSE	SAME	221.9	208.1	430	215
Y26	20923.42	19352.72	1116.183	531.473	16813.793	1373.353	1.993	0	75.84	54	0	13	92.49310103	5.33461069	2.540086659	80.35872243	6.56371186	0.009525211	0	0.362464645	9.291024125	0	2.23672803	Stithians	20/04/2023	20	TRUE	5	09/05/2023	39	4	1	14/06/2023	75	2	457.3	2	FALSE	J2952	BMYZR	7	FALSE	6	J2941	MWRZV	7	FALSE	6	FALSE	SAME	229.4	227.9	457.3	228.65
